time,car_id,position,velocity,lane,distance,crashes
187, 1, 424.000000, 1.000000, 1, 374.000000, 0
188, 0, 376.000000, 1.000000, 1, 376.000000, 0
188, 1, 426.000000, 1.000000, 1, 376.000000, 0
189, 0, 378.000000, 1.000000, 1, 378.000000, 0
189, 1, 428.000000, 1.000000, 1, 378.000000, 0
190, 0, 380.000000, 1.000000, 1, 380.000000, 0
190, 1, 430.000000, 1.000000, 1, 380.000000, 0
191, 0, 382.000000, 1.000000, 1, 382.000000, 0
191, 1, 432.000000, 1.000000, 1, 382.000000, 0
192, 0, 384.000000, 1.000000, 1, 384.000000, 0
192, 1, 434.000000, 1.000000, 1, 384.000000, 0
193, 0, 386.000000, 1.000000, 1, 386.000000, 0
193, 1, 436.000000, 1.000000, 1, 386.000000, 0
194, 0, 388.000000, 1.000000, 1, 388.000000, 0
194, 1, 438.000000, 1.000000, 1, 388.000000, 0
195, 0, 390.000000, 1.000000, 1, 390.000000, 0
195, 1, 440.000000, 1.000000, 1, 390.000000, 0
196, 0, 392.000000, 1.000000, 1, 392.000000, 0
196, 1, 442.000000, 1.000000, 1, 392.000000, 0
197, 0, 394.000000, 1.000000, 1, 394.000000, 0
197, 1, 444.000000, 1.000000, 1, 394.000000, 0
198, 0, 396.000000, 1.000000, 1, 396.000000, 0
198, 1, 446.000000, 1.000000, 1, 396.000000, 0
199, 0, 398.000000, 1.000000, 1, 398.000000, 0
199, 1, 448.000000, 1.000000, 1, 398.000000, 0
200, 0, 400.000000, 1.000000, 1, 400.000000, 0
200, 1, 450.000000, 1.000000, 1, 400.000000, 0
201, 0, 402.000000, 1.000000, 1, 402.000000, 0
201, 1, 452.000000, 1.000000, 1, 402.000000, 0
202, 0, 404.000000, 1.000000, 1, 404.000000, 0
202, 1, 454.000000, 1.000000, 1, 404.000000, 0
203, 0, 406.000000, 1.000000, 1, 406.000000, 0
203, 1, 456.000000, 1.000000, 1, 406.000000, 0
204, 0, 408.000000, 1.000000, 1, 408.000000, 0
204, 1, 458.000000, 1.000000, 1, 408.000000, 0
205, 0, 410.000000, 1.000000, 1, 410.000000, 0
205, 1, 460.000000, 1.000000, 1, 410.000000, 0
206, 0, 412.000000, 1.000000, 1, 412.000000, 0
206, 1, 462.000000, 1.000000, 1, 412.000000, 0
207, 0, 414.000000, 1.000000, 1, 414.000000, 0
207, 1, 464.000000, 1.000000, 1, 414.000000, 0
208, 0, 416.000000, 1.000000, 1, 416.000000, 0
208, 1, 466.000000, 1.000000, 1, 416.000000, 0
209, 0, 418.000000, 1.000000, 1, 418.000000, 0
209, 1, 468.000000, 1.000000, 1, 418.000000, 0
210, 0, 420.000000, 1.000000, 1, 420.000000, 0
210, 1, 470.000000, 1.000000, 1, 420.000000, 0
211, 0, 422.000000, 1.000000, 1, 422.000000, 0
211, 1, 472.000000, 1.000000, 1, 422.000000, 0
212, 0, 424.000000, 1.000000, 1, 424.000000, 0
212, 1, 474.000000, 1.000000, 1, 424.000000, 0
213, 0, 426.000000, 1.000000, 1, 426.000000, 0
213, 1, 476.000000, 1.000000, 1, 426.000000, 0
214, 0, 428.000000, 1.000000, 1, 428.000000, 0
214, 1, 478.000000, 1.000000, 1, 428.000000, 0
215, 0, 430.000000, 1.000000, 1, 430.000000, 0
215, 1, 480.000000, 1.000000, 1, 430.000000, 0
216, 0, 432.000000, 1.000000, 1, 432.000000, 0
216, 1, 482.000000, 1.000000, 1, 432.000000, 0
217, 0, 434.000000, 1.000000, 1, 434.000000, 0
217, 1, 484.000000, 1.000000, 1, 434.000000, 0
218, 0, 436.000000, 1.000000, 1, 436.000000, 0
218, 1, 486.000000, 1.000000, 1, 436.000000, 0
219, 0, 438.000000, 1.000000, 1, 438.000000, 0
219, 1, 488.000000, 1.000000, 1, 438.000000, 0
220, 0, 440.000000, 1.000000, 1, 440.000000, 0
220, 1, 490.000000, 1.000000, 1, 440.000000, 0
221, 0, 442.000000, 1.000000, 1, 442.000000, 0
221, 1, 492.000000, 1.000000, 1, 442.000000, 0
222, 0, 444.000000, 1.000000, 1, 444.000000, 0
222, 1, 494.000000, 1.000000, 1, 444.000000, 0
223, 0, 446.000000, 1.000000, 1, 446.000000, 0
223, 1, 496.000000, 1.000000, 1, 446.000000, 0
224, 0, 448.000000, 1.000000, 1, 448.000000, 0
224, 1, 498.000000, 1.000000, 1, 448.000000, 0
225, 0, 450.000000, 1.000000, 1, 450.000000, 0
